####################	
#Suspended sediment concentration at Avisio River, Masi di Cavalese
#Avisio dam flushing 2024	
#Tulio Soto Parra, David Farò, Guido Zolezzi	
###################	
#VARIABLE NAMES	
#datetime_________date-time in yyyy/mm/dd hh:mm:ss	
#ssc_________suspended sediment concentration in mg/l	
#q_________water discharge in m3/s
###################	
datetime,ssc,q
2024-05-01 00:00:00,216.93,6.94
2024-05-01 00:15:00,219.07,6.94
2024-05-01 00:30:00,232.05,6.94
2024-05-01 00:45:00,220.12,6.94
2024-05-01 01:00:00,228.3,8.41
2024-05-01 01:15:00,211.52,8.41
2024-05-01 01:30:00,201.94,7.66
2024-05-01 01:45:00,200.18,8.41
2024-05-01 02:00:00,208.65,7.66
2024-05-01 02:15:00,207.84,8.41
2024-05-01 02:30:00,214.6,8.41
2024-05-01 02:45:00,217.19,9.2
2024-05-01 03:00:00,223.9,9.2
2024-05-01 03:15:00,192.49,9.2
2024-05-01 03:30:00,225.6,9.2
2024-05-01 03:45:00,231.53,9.2
2024-05-01 04:00:00,237.12,8.41
2024-05-01 04:15:00,226.03,9.2
2024-05-01 04:30:00,227.54,8.41
2024-05-01 04:45:00,222.19,8.41
2024-05-01 05:00:00,240.09,8.41
2024-05-01 05:15:00,241.82,8.41
2024-05-01 05:30:00,242.48,9.2
2024-05-01 05:45:00,241.37,9.2
2024-05-01 06:00:00,258.19,8.41
2024-05-01 06:15:00,240.46,9.2
2024-05-01 06:30:00,228.91,9.2
2024-05-01 06:45:00,246.26,9.2
2024-05-01 07:00:00,236.4,8.41
2024-05-01 07:15:00,238.92,8.41
2024-05-01 07:30:00,251.04,8.41
2024-05-01 07:45:00,250.33,7.66
2024-05-01 08:00:00,261.3,8.41
2024-05-01 08:15:00,273.5,8.41
2024-05-01 08:30:00,282.13,7.66
2024-05-01 08:45:00,293.34,7.66
2024-05-01 09:00:00,289.57,8.41
2024-05-01 09:15:00,253.05,7.66
2024-05-01 09:30:00,267.43,6.94
2024-05-01 09:45:00,274.96,7.66
2024-05-01 10:00:00,257.7,7.66
2024-05-01 10:15:00,234.34,7.66
2024-05-01 10:30:00,224.42,7.66
2024-05-01 10:45:00,241.24,8.41
2024-05-01 11:00:00,252.72,7.66
2024-05-01 11:15:00,230.49,7.66
2024-05-01 11:30:00,223.18,7.66
2024-05-01 11:45:00,261.19,6.94
2024-05-01 12:00:00,244.05,6.94
2024-05-01 12:15:00,260.27,7.66
2024-05-01 12:30:00,250.05,7.66
2024-05-01 12:45:00,255.52,7.66
2024-05-01 13:00:00,252.71,7.66
2024-05-01 13:15:00,262.63,7.66
2024-05-01 13:30:00,243.53,7.66
2024-05-01 13:45:00,228.25,8.41
2024-05-01 14:00:00,243.76,7.66
2024-05-01 14:15:00,264.73,7.66
2024-05-01 14:30:00,259.0,7.66
